Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Previous Cumulative Payout,Payout,Unique Page Views,Popularity Times Rating,Advertising Portion,Advertising Revenue,Views per Thousand Words,Normalized Popularity,Rating Median,Normalized Rating Median,Categorized Articles,Articles,Categorization,Normalized Categorization,Normalized Worth,Earnings Multiplier,Earnings
Maitotoxin,1EZpys8PMP8bZxs2tFTY5T7cimmVMZAxuw,0,0,0,5973,5973,5973,6,6,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,3,0.0,0.0,0.6,0.0,0
Marticps,12UVr7jmrEitXQfzDPXAQ7etiVaa21p4iT,1133,339,13,1062,2195,1531,2,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,0.5,0.548,0.655,0.0,0
Matt608,1Ks4roXAZj45sXRsWMfGqmAPmDoWZ9TAko,0,0,43,199062,199062,199492,199,190,9,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50,50,1.0,1.35,0.735,1.02,9
Max2838,1EZPbtmx7YiDfM2YVThbrbEgC6b86SqFL9,0,0,123,69312,69312,70542,50,0,50,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,116,0.0,0.0,0.6,0.833,42
Maximilian_Wilhelm,1BroUgeCemQvWeYBekpFyEFGZVqrXnrtQ9,0,0,3,86134,86134,86164,86,87,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,23,0.0,0.0,0.6,0.0,0
Melodiemuse,1GJt2nDUrVinYyDFJuWMkkK1Urod5nH72F,195,58,9,19925,20120,20073,20,12,8,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29,29,1.0,1.35,0.735,1.02,8
Merockstar,161J2C45hLh6SecXoRBMbbPGJAv7VdkfEK,0,0,0,8623,8623,8623,9,0,9,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,4,1.0,1.35,0.735,1.02,9
Metallicsoul92,1MZbzzaLJfZb6tkwgBbGX5ayeCbQJaYDwc,823,246,0,1661,2484,1907,2,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,3,0.0,0.0,0.6,0.0,0
Meta-p02,1Q4wj8JfZNGgRFYrk2bfWvqcqH1Y9YVNn9,0,0,0,2895,2895,2895,3,3,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0.0,0.0,0.6,0.0,0
Metazilla,1CJSRunQtPQsiZRK7vznyeCfyDTb2kxGA8,0,0,4,21459,21459,21499,21,20,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,9,0.0,0.0,0.6,0.833,1
Mistercoin,1PxUC79jXvZRbewCeRLPm9gtUbzWGdC2h8,0,0,0,4565,4565,4565,5,5,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8,8,1.0,1.35,0.735,0.0,0
Mosinnagant,1KBShyp8fLARTKAd7tVQv5B9rUPMgfBUvj,0,0,0,64642,64642,64642,65,65,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,23,0.13,0.0955,0.61,0.0,0
Moxy_Jane,184yBE6BY5WRpUvj7pzXjdRaemUByHvgx3,0,0,0,14299,14299,14299,14,14,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,7,0.857,1.1,0.71,0.0,0
Mrc,1EZhgmDXpwppCi7g7mSJkLHJDgtXsyTv6P,0,0,0,1239,1239,1239,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.35,0.735,0.0,0
Mrelite,1HKvhSWL4CAZcw4cN4FwRo8HXUifKm3N2J,0,0,0,11554,11554,11554,12,10,2,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,6,1.0,1.35,0.735,1.02,2
NascentEngineer,1M77B5gC242QJogTwn62oASgz8j8d79M2U,0,0,16,28321,28321,28481,28,21,7,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18,19,0.947,1.26,0.726,1.01,7
Nik1ab,1CbZoBeFBEsvVMb3r6sijaAG8djBFhxWwp,0,0,0,2118,2118,2118,2,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,2,0.0,0.0,0.6,0.833,1
Ninthaxis,1Hcx2ZWSA1nrp3HgAq8CFu4vyUzo1WAQCc,0,0,0,78955,78955,78955,71,21,50,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,117,117,1.0,1.35,0.735,1.02,51
Novacadian,1MJ21NMydr9dNu65tga6oBDa6coiq3bRXz,0,0,8,4543,4543,4623,5,0,5,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.35,0.735,1.02,5
Odolvlobo,1CfNKbC9LLwrtZUC7qTwqSuJHk9qyEL5KH,0,0,0,5889,5889,5889,6,6,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14,14,1.0,1.35,0.735,0.0,0
Ondratra,12QHFnbkJEwv8jmmwcXQqLyfTATqpH1eaq,0,0,0,1293,1293,1293,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0.0,0.0,0.6,0.0,0
Operaficionado,19FLaursDZbNyB7Fvj4wjKXYcX8GrZkkGr,0,0,0,34296,34296,34296,34,33,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,21,0.286,0.265,0.626,0.87,1
Overture,1HAXbT4oDvnqH4no64bhttnEdmaHzpxbaH,0,0,8,14272,14272,14352,14,10,4,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12,12,1.0,1.35,0.735,1.02,4
Papacrusher,13mtCyZTnMJRJw9nt7xqbiGU7tXrvkeAJB,0,0,17,26781,26781,26951,27,8,19,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30,32,0.938,1.24,0.724,1.01,19
Paul3,1MPPHP3TLvD4mph9z1GpM5BamB5Pcx5HuT,0,0,0,74025,74025,74025,74,41,33,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,48,48,1.0,1.35,0.735,1.02,34
Pb321go,1F5uDaCF8ZP6kiLHvDhWsSNPHP6kwt7udi,205181,61554,0,266456,471637,328010,327,277,50,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32,33,0.97,1.3,0.73,1.01,51
Penguinwriter,1LNL1Zrg5h2z8m9c48fgdMx2uXmN3S5Kch,0,0,50,247156,247156,247656,218,168,50,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47,47,1.0,1.35,0.735,1.02,51
Pepegom,1DHAQVz32aMV85AazVHEz8ryeYAArV5pTc,0,0,0,2119,2119,2119,2,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5,6,0.833,1.06,0.706,0.0,0
Physicalartcoin,1CPQPfVT9KLsYWpbBhq7sraL9XyxCJ16yB
Prdkojistic,15fLDbRPj14D2wHrgmTDqM1nqQ5keiV2ye,1302,390,0,0,1302,390,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0
Psalm,16y9hCqxESscRnBJwJskJpDACH4qUiRpA8,0,0,0,16768,16768,16768,17,17,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13,13,1.0,1.35,0.735,0.0,0
Python,1DTdNS3EksVgYAs7yykVA1eifjEHNqsqaY,535,160,1,3808,4343,3978,4,4,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,6,0.5,0.548,0.655,0.0,0
Pythonideus,1JZoUrpX6Dc9fEXagFgsvFL63bhTdJpkn6,0,0,15,1345,1345,1495,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.35,0.735,0.0,0
Randomcount,1CBCR1jCnD57yfwMXsUKbMBaMSrKaBUt3z,0,0,0,12079,12079,12079,12,12,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.35,0.735,0.0,0
Raptorak,1ASdsZ1JUwtVXDfYBx7MRNMeHQ8J51pSRw,2410,723,488,440881,443291,446484,446,415,31,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,303,303,1.0,1.35,0.735,1.02,32
Redmist,1KmDbkBGYzotq6aVf981H6aN2F5nc1SXdQ,0,0,2,24262,24262,24282,24,8,16,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19,32,0.594,0.685,0.669,0.929,15
Rhurley,18hmGQL2MPqKFUUcjetzmxgTUbdGBV6dAy,0,0,0,3810,3810,3810,4,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,3,1.0,1.35,0.735,1.02,4
Sceeth0,1E1EJnnUP4vEhoAhd7Cotb6n9VwrbeTPY1,0,0,0,9934,9934,9934,10,10,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,2,0.0,0.0,0.6,0.0,0
Serena,1Hq7gyvgYCnusxcvosmSy26jXXSudnsgwg,0,0,0,31316,31316,31316,31,31,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,10,0.2,0.166,0.617,0.0,0
Shakezula,1AyjX2QpTYFnmMFnzD3A2sqosfrrMuKbcz,0,0,40,59786,59786,60186,60,74,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36,40,0.9,1.18,0.718,0.0,0
Shinybitcoins,1GixPRcADerY4KoM6FUKiW4NNgpngshvZ4,0,0,0,30123,30123,30123,30,0,30,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21,21,1.0,1.35,0.735,1.02,31
Smeagol,1SMEAGqpm9JSpJ6JZaM5dEBptPTNahpFa,1850,555,47,13409,15259,14434,14,14,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,41,41,1.0,1.35,0.735,0.0,0
Stealtheh,1KZBFKD7NpV7ndufLZfKDdQgRz8nfXEBDm,0,0,0,20179,20179,20179,20,17,3,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16,18,0.889,1.16,0.716,0.994,3
Tenthirtyone,1AXm1qkZZK8QByuPtFA5RFbRKXkf5xGhA5,0,0,2,13140,13140,13160,13,13,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11,15,0.733,0.902,0.69,0.0,0
Termhn,1HXeAHn3LrCo7Xv6EU1rHsdvoY8nu9RGZL,1054,316,1,5760,6814,6086,6,7,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,5,0.2,0.166,0.617,0.0,0
Thedischarger,1KZKMYixw4PDtu5ZbKqrahRWeAgputuVoc,0,0,3,42162,42162,42192,42,46,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19,43,0.442,0.467,0.647,0.0,0
The_Goat_Master,1KGxe5my4BWjt9CExxPTWBRLVfdfeB6Ery,0,0,12,7764,7764,7884,8,8,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5,18,0.278,0.255,0.626,0.0,0
Theokep,1LaHm9wgGW7ZzRNKATkUNPByeLePzdGGgq,0,0,0,5879,5879,5879,6,6,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,3,0.0,0.0,0.6,0.0,0
Theuntitled,1LH2DVjCpp9FD62puC9x5ZujonPSmnbkGd,0,0,7,3121,3121,3191,3,0,3,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2,1.0,1.35,0.735,1.02,3
Thinki,18c1UyaQewaUTnD4KzmayqY6JdMaQtcQxw,0,0,4,4145,4145,4185,4,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,3,0.667,0.796,0.68,0.944,4
Thirdrenaissance,1PT6X8xhyxQC1zGTuWzcHwB7iTEZHZGV71,0,0,3,24205,24205,24235,24,0,24,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5,5,1.0,1.35,0.735,1.02,25
Tibbers,16efV75hHY4Z8x1zLxHPjBU4sAucpDK4Vs,0,0,23,49084,49084,49314,49,0,49,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32,32,1.0,1.35,0.735,1.02,50
Tom,15btmQxdDU2ZNDnMUfURmsATjy8iCtZmaF,250,75,0,8778,9028,8853,9,10,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,5,0.0,0.0,0.6,0.0,0
Tosku,1QEMKqsW3y7EgEefSoCR5DLvUvH4xs5zdJ,0,0,0,1081,1081,1081,1,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,2,0.0,0.0,0.6,0.0,0
Twobits,13A2e3wX9MVMtP1JMxGFcbd2ZuSeVLe8uZ
Unclejed613,15QBmuWuviM3ZUGtJcukpytpZxvdjiPkCA,0,0,4,6244,6244,6284,6,0,6,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,3,1.0,1.35,0.735,1.02,6
Unthinkingbit,17vec4jQGCzMEsTnivizHPaowE715tu2CB,48111,14433,0,99483,147594,113916,114,128,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23,24,0.958,1.28,0.728,0.0,0
User932326,18VxknkRnvGULt3o76yoXSEpEFYKP7YY4J,0,0,0,7441,7441,7441,7,0,7,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2,1.0,1.35,0.735,1.02,7
Vehementchrome,17WNPSjjBxQF7gkQiFNe1yoZ1DaSgztM7K,0,0,145,134174,134174,135624,109,59,50,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27,27,1.0,1.35,0.735,1.02,51
Veruminnumeris,1KZZaLCMPTh9tiNZ7JDXeZUjr6yPYYwtGD,0,0,0,62659,62659,62659,63,64,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,30,0.0,0.0,0.6,0.0,0
Vilmanoella,14wvMyGUXvJpdW2GbKWCEsMDw5s5Ay2F4r,0,0,0,46864,46864,46864,47,47,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21,21,1.0,1.35,0.735,0.0,0
Wardsmith,1SbC9Y3b5eZkYtEd7dbtzD7eP6rtEMfj5,0,0,0,3535,3535,3535,4,4,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,3,0.333,0.323,0.632,0.0,0
Wed,1Jtw6vg7Qj5JWfAU2bV5MDSVv7twy12ycY,0,0,0,1142,1142,1142,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0.0,0.0,0.6,0.0,0
Weisoq,1Cy9e1Yuwboj63XRkMkT6W6YsGDtYDrsUp,2714,814,39,51409,54123,52613,53,53,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16,16,1.0,1.35,0.735,0.0,0
Wekkel,1NtbgQ61TH579orJQEpAZ4zGvgyzLX4L39,0,0,26,14136,14136,14396,14,11,3,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12,12,1.0,1.35,0.735,1.02,3
Whoisthelorax,1JPR1KXGEcUYRReho3KSMMLvmtYpgC5xJc,0,0,0,24304,24304,24304,24,0,24,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9,9,1.0,1.35,0.735,1.02,25
WildElf,13pG9etGRXHjWqE8sc4dhheGzaZT5LsuRk,0,0,0,21108,21108,21108,21,21,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,5,0.0,0.0,0.6,0.0,0
Wiser,1LpoMowMPEVWk2LaJUdAUNaK7gBDRA1r7F,0,0,0,210526,210526,210526,211,178,33,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,60,141,0.426,0.444,0.644,0.895,30
Wolf,1PrXnipPcdfNxANzxX1MTy6ko4RM8VNukm,0,0,0,5538,5538,5538,6,6,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,4,0.0,0.0,0.6,0.0,0
Xchrix,13Q4drkP51gHsabCUXC5XPEBEUUYurMdvB
Xenophaux,1H5qJrnYG9pPzFZ2zbmKihymnB23ViEbXz,0,0,0,5165,5165,5165,5,5,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,3,0.667,0.796,0.68,0.0,0
Xeriandros,1AYNWHyhakgigfVaEYx1h87o1mjksWcnkH,0,0,3,60771,60771,60801,50,0,50,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,46,46,1.0,1.35,0.735,1.02,51
Yungbull,1NgSfubWAAYrApH5rAe8RYcfdtQTNbWxbo,0,0,0,22313,22313,22313,22,22,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,19,0.0526,0.0293,0.603,0.0,0
,Totals,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Previous Cumulative Payout,Payout,Unique Page Views,Popularity Times Rating,Advertising Portion,Advertising Revenue,Views per Thousand Words,Normalized Popularity,Rating Median,Normalized Rating Median,Categorized Articles,Articles,Categorization,Normalized Categorization,Normalized Worth,Earnings Multiplier,Earnings
,,357017,107098,2301,5558638,5915655,5688746,5238,4332,949,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1936,2962,0.581,0.757,0.676,0.988,950
,Date
,2014-02-09
